scientific_name,common_name,plant_type,deer_resistance
Geranium fremontii,"Geranium, wild",Flowers,Often browsed
Lupinus argenteus,Silver Lupine,Flowers,Often browsed
Helianthus pumilus,Low sunflower,Flowers,Often browsed
Allium cernuum,Nodding onion,Flowers,Often browsed
Penstemon virens,"Penstemon, low",Flowers,Often browsed
Phlox multiflora,"Phlox, common",Flowers,Often browsed
Fragaria spp.,Strawberry,Flowers,Often browsed
Delphinium nelsonii,Larkspur,Flowers,Often browsed
Rudbeckia spp.,Black-eyed susan,Flowers,Sometimes browsed
Pulsatilla patens,Pasque flower,Flowers,Sometimes browsed
Epilobium spp.,California fuchsia,Flowers,Sometimes browsed
Ratibida columnifera,Prairie coneflower,Flowers,Sometimes browsed
Ipomopsis aggregata,Scarlet gilia,Flowers,Sometimes browsed
Liatris punctata,Gayflower,Flowers,Sometimes browsed
Rudbeckia laciniata,Tall coneflower,Flowers,Sometimes browsed
Tulipa spp.,Tulips,Flowers,Sometimes browsed
Narcissus cvv.,Daffodils,Flowers,Rarely browsed
Salvia reflexa,Lanceleaf Sage,Flowers,Rarely browsed
Gaillardia aristata,Gaillardia/blanketflower,Flowers,Rarely browsed
Antennaria rosea,"Pussytoes, rose",Flowers,Rarely browsed
Muscari armeniacum,Grape hyacinth,Flowers,Rarely browsed
Erysimum asperum,Western wallflower,Flowers,Rarely browsed
Iris missouriensis,Wild iris,Flowers,Rarely browsed
Lavandula spp.,Lavender,Flowers,Rarely browsed
Calochortus gunnisonii,Mariposa lily,Flowers,Rarely browsed
Campanula rotundifolia,Mountain harebell,Flowers,Rarely browsed
Anaphalis margaritacea,Pearly everlasting,Flowers,Rarely browsed
Echinacea purpurea,Purple coneflower,Flowers,Rarely browsed
Perovskia atriplicifolia,Russian sage,Flowers,Rarely browsed
Thymus spp.,Thyme,Flowers,Rarely browsed
Achillea spp.,Yarrow,Flowers,Rarely browsed
Vitis spp.,Grapes,Vines,Often browsed
Hedera helix,English ivy,Vines,Sometimes browsed
Parthenocissus quinquefolia,Virginia creeper,Vines,Rarely browsed
Malus cvv.,Apples,Trees and Shrubs,Often browsed
Populus tremuloides,Aspen,Trees and Shrubs,Often browsed
Pinus mugo,Mugo pine,Trees and Shrubs,Often browsed
Acer glabrum,Mountain maple,Trees and Shrubs,Often browsed
Pseudotsuga menziesii,Douglas-fir,Trees and Shrubs,Often browsed
Rosa spp.,Roses,Trees and Shrubs,Often browsed
Crataegus spp.,Hawthorn,Trees and Shrubs,Often browsed
Prunus americana,Wild plum,Trees and Shrubs,Often browsed
Alnus tenuifolia,Alder,Trees and Shrubs,Sometimes browsed
Ribes aureum,Golden currant,Trees and Shrubs,Sometimes browsed
Juniperus scopulorum,Rocky Mountain juniper,Trees and Shrubs,Sometimes browsed
Physocarpus monogynus,Ninebark,Trees and Shrubs,Sometimes browsed
Berberis repens,Oregon grape,Trees and Shrubs,Sometimes browsed
Rubus idaeus,Wild raspberry,Trees and Shrubs,Sometimes browsed
Cercocarpus montanus,Mountain mahogany,Trees and Shrubs,Sometimes browsed
Fallugia paradoxa,Apache plume,Trees and Shrubs,Rarely browsed
Caryopteris x clandonensis,Blue mist spiraea,Trees and Shrubs,Rarely browsed
Juniperus communis,Common juniper,Trees and Shrubs,Rarely browsed
Pinus edulis,Pinon pine,Trees and Shrubs,Rarely browsed
Potentilla spp.,Potentilla/cinquefoil,Trees and Shrubs,Rarely browsed
Chrysothamnus spp.,Rabbit brush,Trees and Shrubs,Rarely browsed
