ref_number,author,title,year,publisher,summary
1,California,Fire Safe: Inside,Date,California,Defines fire retardant
2,"Gaidula, Peter",Wildland Fuel,1976,California,This reference does
3,"Tarbes, J.A.",Physical,1980,San Francisco State,Defines fire
4,Sunset,Big Job #1:,1992,Lane Magazine and,Defines highly
5,Sunset,Brush Clearing,1968,Lane Magazine and,Describes fire
6,California,Landscape for,1989,"CSFM Journal, No.",Defines flammable
7,City of Los,Green Belts for,Date,"City of Los Angeles,",The term fire
8,East Bay,Firescape:,1995,Community Services,Defines flammable or
9,Brende and,List of More and,Date,Brende and Shapiro,This reference
10,"Gilmer,",California,1994,Taylor Publishing,Plants are grouped
11,California,Fire-Safe,Date,Santa Clara Ranger,A list of plants is
12,Berkeley,Fire Resistant,1991,Berkeley,Defines fire resistant
13,"Maire, Richard",Landscape to,1962,University of,Fire retardance is not
14,Northeast,Final Habitat,1990,"Northeast Ridge,",This reference states
15,"D'Alcamo,",Appropriate,Date,"East Bay Chapter,",Supplies a list of
16,Red Shingle &,The Green,1988,Red Cedar Shingle &,This references bases
17,Phoenix Team,After the Vision,1996,Phoenix Team of the,This reference
18,"Morris,",Design and,Date,Country Fire,This reference
19,Brush Fire,Make it Safe to,Date,Brush Fire Safety,This reference
20,"Radtke, Klaus",A Homeowner's,1993,County of Los,Fire retardance was
21,"Radtke, Klaus",Living More,Date,U.S. Dept. of,Fire retardance was
22,"Maire, Richard",Landscape for,1969,University of,Refers to Los Angeles
23,Grounds,Flirting With Fire,1988,Grounds,Erosion control was
24,County of Los,Fire Retardant,1970,County of Los,Bases fire retardance
25,Santa Barbara,Firescape,Date,Santa Barbara City,This reference offers
26,"Coate, Barrie",Water-,1990,East Bay Municipal,Only offers a list of
27,"Rice, Carol",Effects of,1991,Wildland Resource,Lists species with the
28,City of San,Fire Resistive,1996,The City of San,Gives a list of
29,"Beatty,",Designing,1991,Department of,Rates plants fire
30,"Harlass,",How to,1993,"Nursery Manager,",Defines a fire
31,Orinda Fire,Protect Your,Date,Orinda Fire,Offers a few fire
32,California,"Fire Safe,",Date,California,Classifies fire
33,City of Santa,City of Santa,Date,City of Santa,Defines fire resistant
34,"Bowker, Mike",High Danger,1995,"Motorland/CSAA,",Considers that fire
35,South County,Protecting Your,Date,South County Fire,Offers only a list of
36,Sunset,Protecting Your,1983,Lane Publishing,Lists succulents as
37,Department,Plants for,1979,"State of California,",Offers a list of
38,"LeMay, David",Recommended,1978,"San Luis Obispo,",Rates species of
39,Martin-,A Homeowner's,Date,"San Luis Obispo,",Lists fire retardant
40,"Moritz, Ray;",Pyrophytic vs.,1996,University of,Defines fire resistant
41,"Moritz, Ray",Pyrophytic vs.,1995,San Rafael Fire,Defines fire resistant
42,"Perry, Bob",Trees and,1989,Land Design,Fire retardance was
43,"Ellefson,",Xeriscape,1992,Macmillian,Offers plant lists only
44,"Brenzel,",Sunset Western,1995,"Menlo Park, CA:",This reference was
45,U.S. Dept. of,Plant Materials,1976,U.S Dept. of,Offers information on
46,"Deering,",A Study of,1955,"Davis, CA:",Offers plant lists only
47,International,Proceedings of,1977,"Seattle, WA: The",Offers species
48,"Edmuson,",Plant Materials,1976,U.S Dept. of,Offers plant lists only
49,Resource,Windbreaks,1988,"Sacramento, CA:",Offers plant lists only
50,"Lenz, Lee W.;",California Native,1981,Rancho Santa Ana,Offers plant lists only
51,"Nehrling,",Easy Gardening,1975,New York: Dover,Defines drought as
52,"Hazlewood,",A Handbook of,1968,"Sydney, Australia:",Defines drought
53,Orange,Report of the,1994,Developed by the,Defines plants that
54,"Perry, Bob",Landscape,1992,"Claremont, CA :",Categorizes
55,"Hickman,",The Jepson,1993,University of,Provides information
56,The Staff of,Hortus Third: A,1976,"New York, NY:",Provides detailed
57,"Costello, L.R.;",Water Use,1994,"Half Moon Bay, CA:",Provides
