var_name,unit,flam_dimension,definition
ignition frequency (%),percent,Ignitability,"Percentage of samples that ignited during the experimental burning. A sample is considered ignited when a flame appears after being exposed to an ignition source during a limited period of time and sustains the flame after the ignition source has been removed."
flammability value,,Ignitability,"Index defined as a function of the ignition frequency and the mean ignition time score. Low = scores 0-1, medium = scores 2-3, high = scores 4-5."
temperature at flaming (°C),°C,Ignitability,"Temperature of the sample (or surrounding air) at the beginning of the flame phase (when flames appear and are maintained)."
temperature at smoke (°C),°C,Ignitability,"Temperature of the sample (or surrounding air) at the beginning of the smoke phase (when smoke appears)."
temperature at smouldering (°C),°C,Ignitability,"Temperature of the sample (or surrounding air) at the beginning of the smouldering phase (when glowing occurs)."
time to flaming (s),seconds,Ignitability,"Time to the beginning of the flaming phase. Time starts when the sample is exposed to an ignition source or reaches a given temperature."
time to maximum heat release rate (s),seconds,Ignitability,"Time elapsed since the beginning of the flaming phase up until the maximum heat release rate is reached."
time to maximum smoke density (s),seconds,Ignitability,"Time elapsed since exposure to the ignition source up until the maximum smoke density is reached."
time to smoke (s),seconds,Ignitability,"Time to the beginning of the smoke phase. Time starts when the sample is exposed to an ignition source or reaches a given temperature."
time to smouldering (s),seconds,Ignitability,"Time to the beginning of the smouldering phase (when glowing occurs). Time starts when exposed to ignition source or reaches a given temperature."
calorific value (kcal/kg),kcal/kg,Combustibility,"The amount of energy released per unit of fuel biomass burnt."
energy flux (kW/m²),kW/m²,Combustibility,"The rate of energy release during combustion per surface area unit."
energy release rate (kW),kW,Combustibility,"The rate of energy release during combustion. Usually the average heat release rate over the experimental burning."
flame height (cm),cm,Combustibility,"Maximum flame height, estimated visually to the nearest centimeter."
flame intensity (kW/m),kW/m,Combustibility,"Maximum heat release rate per meter of fire front."
flame propagation,,Combustibility,"Number of opposite directions in which flames spread from the center of the sample (0 to 4)."
heat released per mass (°C s/g),°C s/g,Combustibility,"Energy released as heat during flame occurrence, estimated as the area under the temperature-time curve throughout flaming duration divided by fresh fuel biomass."
mass loss rate (g/s),g/s,Combustibility,"Burnt biomass divided by the flaming duration (from ignition to flame extinction)."
mass loss rate per area (g/m2 s),g/m² s,Combustibility,"Mass loss rate per area unit of the fuel sample."
maximum energy flux (kW/m2),kW/m²,Combustibility,"Maximum rate of energy release during combustion per surface area unit."
maximum energy release rate (kW),kW,Combustibility,"Maximum energy release rate obtained during the experimental burning."
maximum flame temperature (°C),°C,Combustibility,"Highest temperature measured in the flame during sample burning."
maximum sample temperature (°C),°C,Combustibility,"Highest temperature measured in the sample during burning."
percentage rate of mass loss (%/s),%/s,Combustibility,"Burnt biomass percentage divided by flaming duration (from ignition to flame extinction)."
smoke release rate (m2/s),m²/s,Combustibility,"Volumetric smoke flow rate through the duct of a cone calorimeter."
smoke specific extinction area (m2/kg),m²/kg,Combustibility,"Instantaneous amount of smoke produced per mass unit of burnt sample in a cone calorimeter."
temperature increase rate (°C/s),°C/s,Combustibility,"Maximum rate of temperature increase during flaming combustion."
burning duration (s),seconds,Sustainability,"Amount of time that the combustion is sustained; can be restricted to flaming duration or include the smouldering phase."
flaming duration (s),seconds,Sustainability,"Time elapsed from the appearance of the first visible flame until no more flames were seen."
flaming duration per mass (s/g),s/g,Sustainability,"Flaming duration standardized by the dry, pre-burning fuel mass."
frequency of sustained flaming (%),percent,Sustainability,"Percentage of samples that maintained flames for at least a given time or propagated fire over at least a given distance."
rate of burning spread (cm/s),cm/s,Sustainability,"Speed of burning (smouldering or flaming). Calculated by dividing the length of sample burnt by the burning time."
smoke duration (s),seconds,Sustainability,"Amount of time over which smoke is emitted."
smouldering duration (s),seconds,Sustainability,"Amount of time during which glowing occurs, from end of last visible flame until glowing dies out."
smouldering duration per mass (s/g),s/g,Sustainability,"Smouldering duration standardized by the dry, pre-burning fuel mass."
burnt biomass (%),percent,Consumability,"Post-burning sample weight related to its weight before the experimental burning. Initial weight change corresponds to evaporation of water and other gases."
estimated burnt biomass (%),percent,Consumability,"Visually estimated percentage of the fuel biomass or volume consumed by the fire."
total heat release (MJ/m2),MJ/m²,Consumability,"Total heat produced by the burning fuel over the entire experiment period, calculated by integrating the heat release rate curve vs. time."
total smoke release (m²/m²),m²/m²,Consumability,"Smoke production in a cone calorimeter standardized by the burnt specimen's area unit."
flammability index,,Integrated,"Compound value of flammability obtained by adding standardized scores of max sample temperature, rate of burning spread, and burnt biomass. Range: 0 (no flammability) to ~3 (maximum flammability)."
