scientific_name,common_name,invasive_status
Dioscorea bulbifera,Air Potato,USDA Listed Invasive
Elaeagnus umbellata,Autumn Olive,USDA Listed Invasive
Vitex rotundifolia,Beach Vitex,USDA Listed Invasive
Schinus terebinthifolius,Brazilian Peppertree,USDA Listed Invasive
Inula britannica,British Yellowhead,USDA Listed Invasive
Pyrus calleryana,Callery Pear,USDA Listed Invasive
Cirsium arvense,Canada Thistle,USDA Listed Invasive
Ligustrum sinense,Chinese Privet,USDA Listed Invasive
Triadica sebifera,Chinese Tallow,USDA Listed Invasive
Imperata cylindrica,Cogongrass,USDA Listed Invasive
Rhamnus cathartica,Common Buckthorn,USDA Listed Invasive
Dipsacus fullonum,Common Teasel,USDA Listed Invasive
Linaria dalmatica,Dalmatian Toadflax,USDA Listed Invasive
Centaurea diffusa,Diffuse Knapweed,USDA Listed Invasive
Bromus tectorum,Downy Brome,USDA Listed Invasive
Hedera spp.,English Ivy,USDA Listed Invasive
Ficaria verna,Fig Buttercup,USDA Listed Invasive
Alliaria petiolata,Garlic Mustard,USDA Listed Invasive
Heracleum mantegazzianum,Giant Hogweed,USDA Listed Invasive
Phyllostachys aurea,Golden Bamboo,USDA Listed Invasive
Lepidium appelianum,Hairy Whitetop,USDA Listed Invasive
Cynoglossum officinale,Houndstongue,USDA Listed Invasive
Berberis thunbergii,Japanese Barberry,USDA Listed Invasive
Lygodium japonicum,Japanese Climbing Fern,USDA Listed Invasive
Lonicera japonica,Japanese Honeysuckle,USDA Listed Invasive
Fallopia japonica,Japanese Knotweed,USDA Listed Invasive
Spiraea japonica,Japanese Spiraea,USDA Listed Invasive
Microstegium vimineum,Japanese Stiltgrass,USDA Listed Invasive
Sorghum halepense,Johnsongrass,USDA Listed Invasive
Pueraria montana var. lobata,Kudzu,USDA Listed Invasive
