usda_symbol,scientific_name,common_name
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
ABGR,Abies grandis,
ABLA,Abies lasiocarpa,
ABPR,Abies procera,
ACCI,Acer circinatum,
ACCO4,Aconitum columbianum,
ACGL,Acer glabrum,
ACHY,Achnatherum hymenoides,
ACMA3,Acer macrophyllum,
ACTR,Achlys triphylla,
ADPE,Adiantum pedatum,
