scientific_name,common_name,category
Vernonia fasciculata,Common Ironweed Common Boneset Maximilian Sunflower Blue Vervain Spotted Joe Pye Weed,Monarch Butterfly
Eupatorium perfoliatum,,Monarch Butterfly
Helianthus maximiliani,,Monarch Butterfly
Verbena hastata,,Monarch Butterfly
Eupatorium maculatum,,Monarch Butterfly
Amsonia tabernaemontana,Ozark Bluestar Meadow Blazingstar Purple Coneflower Stiff Goldenrod Wild Bergamot,Monarch Butterfly
Liatris ligulistylis,,Monarch Butterfly
Echinacea purpurea,,Monarch Butterfly
Solidago rigida,,Monarch Butterfly
Monarda fistulosa,,Monarch Butterfly
Agastache foeniculum,BOTANICAL NAME COMMON NAME COLOR HEIGHT EXPOSURE SOIL MAY JUN JUL AUG SEP OCT,Monarch Butterfly
Hyssop blue,,Monarch Butterfly
Bluestar blue,,Monarch Butterfly
Aster laevis,Amsonia tabernaemontana Ozark Bluestar blue,Monarch Butterfly
Aster violet,,Monarch Butterfly
Echinacea pallida,Aster laevis Smooth Blue Aster violet,Monarch Butterfly
Coneflower pink,,Monarch Butterfly
Eupatorium purpureum,Echinacea purpurea Purple Coneflower pink,Monarch Butterfly
Weed light pink,,Monarch Butterfly
Helianthus maximilianii,Eupatorium purpureum Sweet Joe Pye Weed light pink,Monarch Butterfly
Sunflower yellow,,Monarch Butterfly
Liatris aspera,Helianthus maximilianii Maximilian Sunflower yellow,Monarch Butterfly
Blazingstar pink,,Monarch Butterfly
Phlox pilosa,Liatris aspera Rough Blazingstar pink,Monarch Butterfly
Phlox pink,,Monarch Butterfly
Goldenrod yellow,,Monarch Butterfly
Solidago speciosa,Solidago rigida Stiff Goldenrod yellow,Monarch Butterfly
Verbena stricta,Solidago speciosa Showy Goldenrod yellow,Monarch Butterfly
Vervain purple,,Monarch Butterfly
Aster novae,Verbena stricta Hoary Vervain purple,Monarch Butterfly
Aster purple,,Monarch Butterfly
Weed pink,,Monarch Butterfly
Boneset white,,Monarch Butterfly
Blazingstar purple,,Monarch Butterfly
Liatris pycnostachya,Liatris ligulistylis Meadow Blazingstar purple,Monarch Butterfly
Bergamot lavender,,Monarch Butterfly
Vervain blue,,Monarch Butterfly
Ironweed purple,,Monarch Butterfly
Asclepias incarnata,Vernonia fasciculata Common Ironweed purple,Monarch Butterfly
Milkweed pink,,Monarch Butterfly
Asclepias exaltata,Asclepias incarnata Swamp Milkweed pink,Monarch Butterfly
Milkweed white,,Monarch Butterfly
Asclepias syriaca,Asclepias exaltata Poke Milkweed white,Monarch Butterfly
Asclepias tuberosa,Asclepias syriaca Common Milkweed pink,Monarch Butterfly
Milkweed orange,,Monarch Butterfly
Asclepias verticillata,Asclepias tuberosa Butterfly Milkweed orange,Monarch Butterfly
