scientific_name,common_name,group,height,spread,flower_color,bloom,drought_tolerance,region,notes
Ceanothus 'Victoria',California Lilac,Ceanothus,10',10',Blue,Mid-May to early June,Excellent (OSU unirrigated trial),Western Oregon,Most commonly grown Ceanothus in Oregon
Ceanothus gloriosus,Point Reyes Ceanothus,Ceanothus,2',6+',Light blue,Mid- to late April,Excellent (OSU unirrigated trial),Western Oregon,Evergreen groundcover from coastal California
Ceanothus 'Blue Jeans',California Lilac,Ceanothus,10',10',Blue/purple-blue,Early- to mid-April,Excellent (OSU unirrigated trial),Western Oregon,One of earliest to bloom
Ceanothus x delilianus 'Gloire de Versailles',California Lilac,Ceanothus,6',10',Light blue,Mid-June through July,Excellent (OSU unirrigated trial),Western Oregon,Semi-evergreen; blooms much later than most
Ceanothus cuneatus,Buckbrush,Ceanothus,8',10',White or light blue,,Excellent (OSU unirrigated trial),Western Oregon,Most widely distributed Ceanothus in western US
Cistus 'Gordon Cooper',Rockrose,Cistus,3',6',White with dark red blotches,Mid-May to mid-June,Excellent (OSU unirrigated trial),Western Oregon,"Very vigorous, spreading; tall groundcover when massed"
Cistus x obtusifolius,Rockrose,Cistus,3',5',White,Mid-May to mid-June,Excellent (OSU unirrigated trial),Western Oregon,Near-perfect dome of foliage
Cistus 'Snow Fire',Rockrose,Cistus,5',8',White with red blotches,Mid-May through late June,Excellent (OSU unirrigated trial),Western Oregon,Excellent foliage; specimen or large-scale groundcover
Cistus x pulverulentus 'Sunset',Rockrose,Cistus,2',4',Brilliant magenta,Late May to mid-July,Excellent (OSU unirrigated trial),Western Oregon,"Flat, spreading groundcover; gray-green foliage"
Cistus lasianthum 'Sandling',Rockrose,Cistus,2',5',Yellow with red blotches,Mid-May to mid-June,Excellent (OSU unirrigated trial),Western Oregon,Mounding shrub; silvery foliage
Arctostaphylos uva-ursi 'Green Supreme',Kinnikinnick,Arctostaphylos,"8""",Several feet,White to pale pink,Early spring,Excellent (OSU unirrigated trial),Western Oregon,Vigorous kinnikinnick selection; glossy green foliage
Arctostaphylos nummularia (Select Form),Fort Bragg Manzanita,Arctostaphylos,2',4-5',White,Late winter,Excellent (OSU unirrigated trial),Western Oregon,"Dense, mounded; glossy rounded leaves; reddish branches"
Arctostaphylos hookeri 'Wayside',Monterey Manzanita,Arctostaphylos,4-5',8-10',White with pink edges,March,Excellent (OSU unirrigated trial),Western Oregon,Dense evergreen; glossy green foliage
Arctostaphylos columbiana,Hairy Manzanita,Arctostaphylos,up to 30',,White or pink,March,Excellent (OSU unirrigated trial),Western Oregon,Widely distributed in W. Oregon; mahogany bark
Arctostaphylos 'Sentinel',Manzanita,Arctostaphylos,8',8',Pink,Late Dec to Feb,Excellent (OSU unirrigated trial),Western Oregon,Heavy bloomer; mid-winter forage for hummingbirds and bumblebees
Grevillea australis,Spider Flower,Grevillea,3.5',6',White,Late March to early April,Excellent (OSU unirrigated trial),Western Oregon,One of the hardiest; fragrant flowers
Grevillea juniperina 'Molonglo',Spider Flower,Grevillea,2',6',Apricot-yellow,April through June,Excellent (OSU unirrigated trial),Western Oregon,Attracts hummingbirds and bumblebees
Grevillea 'Poorinda Leane',Spider Flower,Grevillea,4.5',9',Orange,April to August,Excellent (OSU unirrigated trial),Western Oregon,Very long bloom period; highly attractive to hummingbirds
Grevillea victoriae,Spider Flower,Grevillea,8-9',8-9',Red to orange,December to April,Excellent (OSU unirrigated trial),Western Oregon,Winter blooms valuable for pollinators; needs protected site
Artemisia alba,White Wormwood,Groundcovers,2',5',Yellow-gray,Late summer,Excellent (OSU unirrigated trial),Western Oregon,Semi-evergreen; fine-textured groundcover
Baccharis pilularis 'Pistol Pancake',Coyote Brush,Groundcovers,3',6.7',Cream to yellow,September-October,Excellent (OSU unirrigated trial),Western Oregon,Native Oregon Coast; late-season pollinator food
Cotoneaster glaucophyllus,Grayleaf Cotoneaster,Groundcovers,2.3',3.3',White,Spring,Excellent (OSU unirrigated trial),Western Oregon,Blue-grey foliage; red berries
Pseudodictamnus hirsutus,Hairy Sage,Groundcovers,2.75',5.5',Purple-white,July,Excellent (OSU unirrigated trial),Western Oregon,Woolly foliage; bumblebees love this plant
Phlomis italica,Jerusalem Sage,Groundcovers,,,Lavender,,Excellent (OSU unirrigated trial),Western Oregon,Balearic Islands native; gray-green foliage; whorled blooms
